"id_2026","redizo","kkov","zamereni","typ","nazev","obec","stav","id_2025_potvrzene","overil","zdroj_overeni","poznamka"
"600005178_79-41-K/81_Vseobecne_gymnazium","600005178","79-41-K/81","Všeobecné gymnázium","GY8","Gymnázium Evolution, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005216_65-42-M/02","600005216","65-42-M/02","","SOS","SŠ gastronomická a hotelová s.r.o.","Praha","chybi_presna_shoda","","","",""
"600006310_63-41-M/01_sportovni_management","600006310","63-41-M/01","Sportovní management","SOS","Soukromá SŠ a ZŠ (1. KŠPA) Praha s.r.o.","Praha","kolize_katalogu","","","",""
"600005836_78-42-M/08_Business_Vinohrady","600005836","78-42-M/08","Business - Vinohrady","LYC","Obch. akademie Praha, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005381_26-41-L/52","600005381","26-41-L/52","","NAS","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600005178_79-41-K/61_Vseobecne_gymnazium","600005178","79-41-K/61","Všeobecné gymnázium","GY6","Gymnázium Evolution, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005658_39-41-L/01_Mechanik_opravar_motorovych_vozidel_obor_L_H","600005658","39-41-L/01","Mechanik opravář motorových vozidel, obor L+H","SOU","Střední průmyslová škola dopravní, a.s.","Praha","chybi_presna_shoda","","","",""
"600005364_79-41-K/41_Ucime_se_pro_budoucnost","600005364","79-41-K/41","Učíme se pro budoucnost","GY4","MICHAEL - SŠ, Gymnázium a VOŠ, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005267_79-41-K/81_Skola_je_dilnou_lidskosti","600005267","79-41-K/81","Škola je dílnou lidskosti","GY8","Klasické gymnázium Modřany a ZŠ","Praha","chybi_presna_shoda","","","",""
"600005381_36-47-M/01_Priprava_a_realizace_staveb","600005381","36-47-M/01","Příprava a realizace staveb","SOS","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600006930_63-41-M/01_Management_sportu","600006930","63-41-M/01","Management sportu","SOS","1. klad. soukr. SŠ a ZŠ (1.KŠPA), s.r.o.","Kladno","kolize_katalogu","","","",""
"600006379_78-42-M/06","600006379","78-42-M/06","","LYC","SOŠ uměleckořemeslná s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005381_33-42-L/51","600005381","33-42-L/51","","NAS","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600005267_79-41-K/61_Skola_je_dilna_lidskosti","600005267","79-41-K/61","Škola je dílna lidskosti.","GY6","Klasické gymnázium Modřany a ZŠ","Praha","chybi_presna_shoda","","","",""
"600005798_65-41-L/01","600005798","65-41-L/01","","SOU","SŠ kosmetiky a hotelnictví BEAN, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005500_79-41-K/41_SVP_GOP_vseobecne","600005500","79-41-K/41","ŠVP GOP všeobecné","GY4","Gymnázium Oty Pavla","Praha","chybi_presna_shoda","","","",""
