"id_2026","redizo","kkov","zamereni","typ","nazev","obec","stav","id_2025_potvrzene","overil","zdroj_overeni","poznamka"
"600017125_64-41-L/51","600017125","64-41-L/51","","NAS","Střední škola zemědělská a zahradnická","Olomouc","chybi_presna_shoda","","","",""
"600017133_23-44-L/01_23_44_L_01","600017133","23-44-L/01","23-44-L/01","SOU","Střední škola technických profesí","Olomouc","chybi_presna_shoda","","","",""
"600017133_26-41-L/01_26_41_L_01_Vypocetni_a_elektronicke_systemy","600017133","26-41-L/01","26-41-L/01 Výpočetní a elektronické systémy","SOU","Střední škola technických profesí","Olomouc","chybi_presna_shoda","","","",""
"600017133_26-41-L/01_26_51_H_02_Elektrikar_silnoproud","600017133","26-41-L/01","26-51-H/02 Elektrikář - silnoproud","SOU","Střední škola technických profesí","Olomouc","chybi_presna_shoda","","","",""
"600017133_26-45-M/01_26_45_M_01","600017133","26-45-M/01","26-45-M/01","SOS","Střední škola technických profesí","Olomouc","chybi_presna_shoda","","","",""
"600017133_64-41-L/51_64_41_L_51","600017133","64-41-L/51","64-41-L/51","NAS","Střední škola technických profesí","Olomouc","chybi_presna_shoda","","","",""
"600017141_68-43-M/01","600017141","68-43-M/01","","SOS","Střední odborná škola Olomouc s.r.o.","Olomouc","kolize_katalogu","","","",""
"600017192_23-43-L/51","600017192","23-43-L/51","","NAS","Sigmundova střední škola strojírenská","Lutín","chybi_presna_shoda","","","",""
"600017231_64-41-L/51","600017231","64-41-L/51","","NAS","SOŠ a SOU služeb Velký Újezd, s.r.o.","Velký Újezd","chybi_presna_shoda","","","",""
"600017257_37-42-M/01","600017257","37-42-M/01","","SOS","OA a SOŠ logistická","Opava","chybi_presna_shoda","","","",""
"600017290_63-41-M/01","600017290","63-41-M/01","","SOS","Soukromá obchodní akademie Opava s.r.o.","Opava","kolize_katalogu","","","",""
"600017311_28-42-L/01_Chemik_operator_Chemik","600017311","28-42-L/01","Chemik operátor/Chemik ","SOU","Masarykova střední škola","Opava","chybi_presna_shoda","","","",""
"600017311_64-41-L/51","600017311","64-41-L/51","","NAS","Masarykova střední škola","Opava","chybi_presna_shoda","","","",""
"600017320_79-41-K/41_Tvorim_tvoris_tvorime","600017320","79-41-K/41","Tvořím, tvoříš, tvoříme ...","GY4","Mendelovo gymnázium","Opava","chybi_presna_shoda","","","",""
"600017320_79-41-K/81_Tvorim_tvoris_tvorime","600017320","79-41-K/81","Tvořím, tvoříš, tvoříme ...","GY8","Mendelovo gymnázium","Opava","chybi_presna_shoda","","","",""
"600017346_64-41-L/51","600017346","64-41-L/51","","NAS","Střední škola HGS SČMSD, s.r.o.","Šilheřovice","chybi_presna_shoda","","","",""
"600017401_68-43-M/01_verejnospravni_cinnost","600017401","68-43-M/01","Veřejnosprávní činnost","SOS","Soukr.střední škola podnikatelská s.r.o.","Opava","kolize_katalogu","","","",""
"600017443_79-41-K/41_Anglicky_jazyk_prvni_cizi_jazyk","600017443","79-41-K/41","Anglický jazyk (první cizí jazyk)","GY4","Jazykové gymnázium Pavla Tigrida","Ostrava","chybi_presna_shoda","","","",""
"600017443_79-41-K/41_Nemecky_jazyk_prvni_cizi_jazyk","600017443","79-41-K/41","Německý jazyk (první cizí jazyk)","GY4","Jazykové gymnázium Pavla Tigrida","Ostrava","chybi_presna_shoda","","","",""
"600017443_79-41-K/61_Francouzsky_jazyk_prvni_cizi_jazyk","600017443","79-41-K/61","Francouzský jazyk (první cizí jazyk)","GY6","Jazykové gymnázium Pavla Tigrida","Ostrava","chybi_presna_shoda","","","",""
"600017460_18-20-M/01_ekonomicke_zaklady","600017460","18-20-M/01","ekonomické základy","SOS","Obchodní akademie","Ostrava","chybi_presna_shoda","","","",""
"600017460_63-41-M/02_marketing_a_digitalni_technologie","600017460","63-41-M/02","marketing a digitální technologie","SOS","Obchodní akademie","Ostrava","chybi_presna_shoda","","","",""
"600017460_63-41-M/02_ucetnictvi_a_dane","600017460","63-41-M/02","účetnictví a daně","SOS","Obchodní akademie","Ostrava","chybi_presna_shoda","","","",""
"600017486_79-41-K/81_vseobecne","600017486","79-41-K/81","všeobecné","GY8","Gymnázium","Ostrava","chybi_presna_shoda","","","",""
"600017494_79-41-K/41_anglicky_jazyk","600017494","79-41-K/41","anglický jazyk","GY4","Gymnázium Hladnov a JŠ s právem SJZ","Ostrava","chybi_presna_shoda","","","",""
"600017494_79-43-K/61_spanelsky_jazyk","600017494","79-43-K/61","španělský jazyk","GY6","Gymnázium Hladnov a JŠ s právem SJZ","Ostrava","chybi_presna_shoda","","","",""
"600017508_79-41-K/41_vseobecne","600017508","79-41-K/41","všeobecné","GY4","Matiční gymnázium","Ostrava","chybi_presna_shoda","","","",""
"600017508_79-41-K/81_vseobecne","600017508","79-41-K/81","všeobecné","GY8","Matiční gymnázium","Ostrava","chybi_presna_shoda","","","",""
"600017591_79-41-K/41_Mezinarodni_gymnazium","600017591","79-41-K/41","Mezinárodní gymnázium","GY4","PRIGO, gymnázium 6leté a 4leté, s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600017591_79-41-K/61_Mezinarodni_gymnazium","600017591","79-41-K/61","Mezinárodní gymnázium","GY6","PRIGO, gymnázium 6leté a 4leté, s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600017648_79-41-K/81_Matematika_a_priroda","600017648","79-41-K/81","Matematika a příroda","GY8","Wichterlovo gymnázium","Ostrava","chybi_presna_shoda","","","",""
"600017648_79-41-K/81_Mluvime_anglicky","600017648","79-41-K/81","Mluvíme anglicky","GY8","Wichterlovo gymnázium","Ostrava","chybi_presna_shoda","","","",""
"600017656_26-45-M/01_Informacni_a_komunikacni_technologie","600017656","26-45-M/01","Informační a komunikační technologie","SOS","Střední škola teleinformatiky","Ostrava","chybi_presna_shoda","","","",""
"600017681_36-47-M/01","600017681","36-47-M/01","","SOS","SPŠ stavební","Ostrava","chybi_presna_shoda","","","",""
"600017699_23-41-M/01_Strojirenstvi_automobilni_technika","600017699","23-41-M/01","Strojírenství - automobilní technika","SOS","Střední průmyslová škola","Ostrava","chybi_presna_shoda","","","",""
"600017699_23-41-M/01_Strojirenstvi_robotika","600017699","23-41-M/01","Strojírenství - robotika","SOS","Střední průmyslová škola","Ostrava","chybi_presna_shoda","","","",""
"600017699_23-41-M/01_Strojirenstvi_vypocetni_technika","600017699","23-41-M/01","Strojírenství - výpočetní technika","SOS","Střední průmyslová škola","Ostrava","chybi_presna_shoda","","","",""
"600017702_33-42-L/51_Drevarska_a_nabytkarska_vyroba","600017702","33-42-L/51","Dřevařská a nábytkářská výroba","NAS","SŠ stavební a dřevozpracující","Ostrava","chybi_presna_shoda","","","",""
"600017702_36-44-L/51","600017702","36-44-L/51","","NAS","SŠ stavební a dřevozpracující","Ostrava","chybi_presna_shoda","","","",""
"600017753_28-44-M/01_Aplikovana_chemie","600017753","28-44-M/01","Aplikovaná chemie","SOS","SPŠCH akademika Heyrovského","Ostrava","chybi_presna_shoda","","","",""
"600017753_78-42-M/05_Prirodovedne_lyceum_2_0","600017753","78-42-M/05","Přírodovědné lyceum 2.0","LYC","SPŠCH akademika Heyrovského","Ostrava","chybi_presna_shoda","","","",""
"600017761_23-43-L/51_Provozni_technika","600017761","23-43-L/51","Provozní technika","NAS","RB SOU autoopravárenské, s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600017770_41-46-M/01_M","600017770","41-46-M/01","M","SOS","Střední lesnická škola","Hranice","chybi_presna_shoda","","","",""
"600017796_63-41-M/02_Firemni_management_a_Sportovni_management","600017796","63-41-M/02","Firemní management a Sportovní management","SOS","Obch.akademie a Jazyk.škola s právem SJZ","Přerov","chybi_presna_shoda","","","",""
"600017834_41-45-L/51","600017834","41-45-L/51","","NAS","Střední škola zemědělská","Přerov","chybi_presna_shoda","","","",""
"600017842_75-31-M/01_Predskolni_a_mimoskolni_pedagogika","600017842","75-31-M/01","Předškolní a mimoškolní pedagogika","SOS","Gymnázium Jana Blahoslava a SPgŠ","Přerov","chybi_presna_shoda","","","",""
"600017842_78-42-M/03_Pedagogicke_lyceum","600017842","78-42-M/03","Pedagogické lyceum","LYC","Gymnázium Jana Blahoslava a SPgŠ","Přerov","chybi_presna_shoda","","","",""
"600017842_79-41-K/41_Ctyrlete_gymnazium_zive_jazyky","600017842","79-41-K/41","Čtyřleté gymnázium - živé jazyky","GY4","Gymnázium Jana Blahoslava a SPgŠ","Přerov","chybi_presna_shoda","","","",""
"600017842_79-41-K/61_Sestilete_gymnazium_zive_jazyky","600017842","79-41-K/61","Šestileté gymnázium - živé jazyky","GY6","Gymnázium Jana Blahoslava a SPgŠ","Přerov","chybi_presna_shoda","","","",""
"600017869_36-47-M/01","600017869","36-47-M/01","","SOS","SPŠ stavební","Lipník nad Bečvou","chybi_presna_shoda","","","",""
"600017907_23-43-L/51","600017907","23-43-L/51","","NAS","Střední průmyslová škola Hranice","Hranice","chybi_presna_shoda","","","",""
"600017907_33-42-L/51","600017907","33-42-L/51","","NAS","Střední průmyslová škola Hranice","Hranice","chybi_presna_shoda","","","",""
"600017931_65-42-M/02","600017931","65-42-M/02","","SOS","Střední odborná škola Hranice","Hranice","chybi_presna_shoda","","","",""
"600017982_18-20-M/01","600017982","18-20-M/01","","SOS","SPŠ elektrotechniky a informatiky","Mohelnice","chybi_presna_shoda","","","",""
"600017982_26-41-M/01","600017982","26-41-M/01","","SOS","SPŠ elektrotechniky a informatiky","Mohelnice","chybi_presna_shoda","","","",""
